,TILE_X0|_Y0|_PE_MEM_X0|_Y0|-T0,TILE_X0|_Y0|_PE_MEM_X0|_Y1|-T0,TILE_X1|_Y0|_PE_MEM_X0|_Y0|-T0,TILE_X1|_Y0|_PE_MEM_X0|_Y1|-T0,TILE_X0|_Y1|_PE_MEM_X0|_Y0|-T0,TILE_X0|_Y1|_PE_MEM_X0|_Y1|-T0,TILE_X1|_Y1|_PE_MEM_X0|_Y0|-T0,TILE_X1|_Y1|_PE_MEM_X0|_Y1|-T0,TILE_X0|_Y0|_PE_R1_X1|_Y0|-T0,TILE_X1|_Y0|_PE_R1_X1|_Y0|-T0,TILE_X0|_Y1|_PE_R1_X1|_Y0|-T0,TILE_X1|_Y1|_PE_R1_X1|_Y0|-T0,TILE_X0|_Y0|_PE_R2_X1|_Y1|-T0,TILE_X1|_Y0|_PE_R2_X1|_Y1|-T0,TILE_X0|_Y1|_PE_R2_X1|_Y1|-T0,TILE_X1|_Y1|_PE_R2_X1|_Y1|-T0,
,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,FU0,
,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,DP0,
T=0,---,11: 4,---,8: 0,6: 8,---,---,---,15: 0,---,3: 0,7: 0,1: 4,---,---,---,
T=1,---,---,---,---,---,---,---,---,20013: 1,---,---,---,2: 5,---,---,---,
T=2,---,5: 6,---,14: 2,---,---,---,---,---,---,10: 6,---,9: 2,---,---,---,
T=3,---,---,---,20012: 7,---,---,---,---,---,---,---,---,0: 3,---,---,---,
************************************
***************Schedule:*********************
L=0,---,---,---,8,---,---,---,---,15,---,3,7,---,---,---,---,
L=1,---,---,---,---,---,---,---,---,20013,---,---,---,---,---,---,---,
L=2,---,---,---,14,---,---,---,---,---,---,---,---,9,---,---,---,
L=3,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,
L=4,---,11,---,---,---,---,---,---,---,---,---,---,1,---,---,---,
L=5,---,---,---,---,---,---,---,---,---,---,---,---,2,---,---,---,
L=6,---,5,---,---,---,---,---,---,---,---,10,---,---,---,---,---,
L=7,---,---,---,20012,---,---,---,---,---,---,---,---,---,---,---,---,
L=8,---,---,---,---,6,---,---,---,---,---,---,---,---,---,---,---,
